比對: 2026-06-02 23:09:47 -> 2026-06-03 00:29:56
共 35 家店增加, 總計 +231 票

+ 72  274->346  台中市  北屯世界杯線上投注運動彩券24H營業  (台中市北屯區昌平路二段5-19號1樓)
+ 33  488->521  新竹市  一兆運動彩券行  (新竹市東區南大路289、291號1樓)
+ 24   18->42   台中市  賺賺賺運動彩券行  (台中市南屯區大墩路9號1樓)
+ 19   70->89   台中市  賺滿滿彩券行  (台中市西區民生路511號1樓)
+ 10  104->114  新北市  龍長吟運動彩券  (新北市新莊區龍安路234號1樓)
+  8    0->8    雲林縣  福貿運動彩券行  (雲林縣斗六市石榴路222-1號1樓)
+  7   18->25   台中市  泉中運動彩券行  (台中市西區忠明南路27-1號1樓)
+  6   58->64   桃園市  滿貫全壘打運動彩券行  (桃園市八德區桃鶯路42號1樓)
+  5   17->22   嘉義市  真好野運動彩券行24H營業  (嘉義市東區興業東路110號1樓)
+  4   33->37   桃園市  大竹運彩行  (桃園市蘆竹區上興路212號1樓)
+  4   22->26   台中市  皇家運動彩券行  (台中市東區台中路403-3號1樓)
+  4    7->11   台中市  雙贏運動彩券行  (台中市清水區中山路461之4號1樓)
+  3   47->50   新北市  賺翻天運動彩券  (新北市新莊區自信街22號1樓)
+  3   62->65   新竹市  一路發運彩商行24H營業  (新竹市東區光復路一段659號1樓)
+  3   37->40   台中市  纓纓美黛子運動彩券行  (台中市北屯區大鵬路22號1樓)
+  2   77->79   新北市  星宇運動彩券行  (新北市汐止區連興街6號1樓)
+  2   72->74   新北市  好采球運動彩券行  (新北市蘆洲區民族路95號1樓)
+  2   12->14   新北市  囍來發運動彩券行  (新北市三重區大智街164號1樓)
+  2   14->16   台中市  地表最強運動彩券24H營業  (台中市北屯區崇德二路一段142-6號1樓)
+  2    5->7    台中市  錢多多運動彩券行  (台中市太平區中平路99號1樓)
+  2   10->12   高雄市  五湖四海運彩行  (高雄市鳳山區新富路502號1樓)
+  1   63->64   台北市  伊六八運動彩券行  (台北市中山區伊通街68號1樓)
+  1    4->5    台北市  阿布拉運動彩券行  (台北市大安區復興南路二段141號1樓)
+  1    0->1    台北市  美工運動彩券行  (台北市內湖區內湖路一段307號1樓)
+  1    3->4    台北市  飛淶發運動彩券行24H營業  (台北市士林區文林路143號1樓)
+  1   13->14   台北市  每買必仲運動彩券行  (台北市士林區文林路173號1樓)
+  1  136->137  新北市  廣合發運動彩券行24H營業  (新北市汐止區忠孝東路268號1樓)
+  1   30->31   新北市  博盈運動彩券行  (新北市板橋區國慶路163號1樓)
+  1   90->91   新北市  宜信運動彩券行  (新北市永和區秀朗路二段89號1樓)
+  1    9->10   桃園市  紅不讓運動彩券行  (桃園市桃園區國際路一段1174號1樓)
+  1    0->1    桃園市  鐵軌路運動投注站  (桃園市桃園區寶山街340號1樓)
+  1   44->45   新竹市  金財神運動彩券行  (新竹市東區林森路185號1樓)
+  1   46->47   台中市  西屯世界杯線上投注運動彩券24H營業  (台中市西屯區長安路二段159號1樓)
+  1   14->15   台中市  天降財運動彩券行  (台中市東區振興路407號1樓)
+  1   29->30   彰化縣  年富億年商行  (彰化縣和美鎮彰美路六段197號1樓)
